Case_ID,PSO_Coverage,MFO_Coverage,FA_Coverage,GWO_Coverage
1,96,96,81,97
2,99,96,80,99
3,89,90,81,96
4,97,97,74,94
5,96,96,81,95
6,92,94,79,96
7,94,93,82,96
8,92,96,77,96
9,99,97,88,90
10,94,96,78,96
11,92,96,77,96
12,98,97,80,96
13,96,94,77,91
14,95,99,85,96
15,93,95,79,94
16,94,96,86,90
17,97,94,83,88
18,93,96,79,91
19,94,98,82,88
20,91,96,80,96
21,94,93,78,93
22,94,93,84,95
23,91,95,83,97
24,94,94,79,96
25,97,97,87,96
26,95,94,81,98
27,94,94,82,95
28,95,90,82,91
29,97,97,80,100
30,94,95,81,93
31,99,98,81,94
32,89,88,79,95
33,98,98,84,88
34,93,89,76,96
35,94,98,80,88
36,88,95,80,91
37,95,92,80,95
38,95,95,83,94
39,95,98,81,93
40,97,94,81,97
41,92,96,84,97
42,96,92,79,85
43,96,97,77,93
44,91,97,87,88
45,90,96,80,93
46,95,98,84,86
47,97,99,83,99
48,95,95,88,98
49,97,95,85,98
50,91,97,78,97
51,95,98,80,90
52,97,96,82,96
53,92,95,77,94
54,91,95,79,94
55,97,99,78,96
56,99,100,80,97
57,96,96,79,92
58,98,98,82,94
59,97,95,85,94
60,89,93,83,95
61,91,94,83,87
62,90,93,79,89
63,92,97,80,88
64,94,94,78,92
65,95,98,76,95
66,90,97,76,88
67,97,93,79,94
68,98,95,83,95
69,95,93,80,89
70,94,93,82,98
71,95,95,81,91
72,94,93,79,94
73,91,97,83,89
74,97,91,82,87
75,94,97,83,98
76,91,100,81,89
77,93,94,80,86
78,90,93,78,96
79,94,93,83,84
80,97,94,79,87
81,90,95,78,85
82,92,97,82,96
83,93,96,77,96
84,90,94,82,89
85,92,95,80,97
86,93,96,79,96
87,93,96,85,95
88,89,95,81,90
89,95,97,84,92
90,93,96,85,98
91,96,100,79,89
92,95,95,78,95
93,96,92,84,87
94,88,98,78,89
95,98,100,82,95
96,96,98,84,100
97,96,97,81,94
98,93,98,80,89
99,84,95,81,93
100,92,94,82,82
